ID,item_cnt_month
0,2.1350484
1,0.0
2,1.2977271
3,0.7817282
4,5.7734003
5,0.9581959
6,3.410224
7,0.0
8,0.0
9,3.410224
10,4.8329043
11,5.5192733
12,0.0
13,2.2335567
14,3.419169
15,3.2449794
16,1.5615482
17,0.0
18,5.633485
19,3.085034
20,0.0
21,2.1350484
22,1.8318176
23,0.5348606
24,2.183141
25,2.9271717
26,0.0
27,0.6850132
28,5.159631
29,0.0
30,5.159631
31,5.159631
32,5.159631
33,5.159631
34,0.0
35,0.0
36,0.0
37,5.159631
38,2.8205957
39,2.8205957
40,2.8205957
41,1.8318176
42,1.8318176
43,1.8318176
44,25.770725
45,28.940916
46,25.770725
47,2.8205957
48,2.8205957
49,2.8205957
50,2.8205957
51,2.8205957
52,0.0
53,2.8205957
54,4.657088
55,4.0529857
56,0.5990412
57,0.8618117
58,0.5990412
59,5.7530766
60,0.8618117
61,0.8618117
62,0.5990412
63,2.8026633
64,5.8573623
65,0.0
66,1.6579586
67,1.6579586
68,0.9355607
69,1.6991782
70,0.11205439
71,0.0
72,0.77154756
73,6.986006
74,2.834056
75,6.5270886
76,0.0
77,6.303518
78,1.1865191
79,1.1865191
80,2.6870546
81,0.45375845
82,5.6156173
83,0.099845864
84,0.74728847
85,0.74728847
86,0.74728847
87,0.0
88,1.9246469
89,1.9246469
90,0.0
91,0.30767024
92,1.547976
93,0.0
94,3.2272527
95,0.0
96,0.0
97,1.1466013
98,1.8672447
99,1.6780928
100,8.647527
101,8.110857
102,1.1565061
103,0.8769327
104,1.1565061
105,0.0
106,0.0
107,9.009362
108,0.0
109,0.25317353
110,6.220844
111,1.0844764
112,0.73518384
113,6.220844
114,1.0790633
115,0.0
116,0.0
117,0.0
118,1.3277214
119,1.1022367
120,1.3277214
121,1.3277214
122,1.3277214
123,1.1022367
124,1.1022367
125,1.1022367
126,1.3277214
127,0.0
128,0.0
129,0.034374036
130,1.1651924
131,0.0
132,1.478233
133,1.478233
134,1.1022367
135,1.475286
136,1.475286
137,1.475286
138,1.475286
139,2.0647774
140,0.0
141,0.0
142,1.4506998
143,0.0
144,3.3203866
145,3.3203866
146,3.3203866
147,0.0
148,0.2898357
149,2.3187406
150,0.0
151,0.0
152,10.75529
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.38787392
164,0.0
165,0.0
166,0.0
167,0.0
168,1.1733445
169,0.0
170,0.0
171,0.0
172,0.0
173,1.9415402
174,1.478233
175,10.75529
176,1.478233
177,0.41360357
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.67993534
189,0.67993534
190,1.05255
191,1.05255
192,0.0
193,0.3202857
194,0.5878481
195,2.4645545
196,17.96286
197,5.593051
198,6.395956
199,5.9302907
200,6.8587255
201,5.9302907
202,0.0
203,3.0922909
204,0.0
205,0.0
206,0.0
207,0.51759946
208,2.341092
209,0.46334758
210,0.46334758
211,0.0
212,0.0
213,0.0
214,0.0
215,0.27266082
216,0.0
217,0.5551173
218,0.5551173
219,6.395956
220,3.0922909
221,18.565014
222,13.24342
223,5.4139853
224,5.700912
225,10.091784
226,0.6987027
227,1.1015182
228,2.8943627
229,3.0941637
230,10.854989
231,0.2734289
232,0.53196186
233,2.235988
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,3.474104
240,3.118593
241,1.218707
242,1.2581959
243,17.895367
244,0.0
245,0.0
246,4.2237244
247,1.6060727
248,8.033856
249,2.304426
250,2.431894
251,4.7080297
252,6.363182
253,7.0009594
254,1.9917089
255,7.9306
256,1.0725416
257,1.2320583
258,1.1083769
259,1.3516113
260,1.1160499
261,1.3516113
262,0.9911888
263,1.708132
264,1.3591037
265,7.2090282
266,1.5553182
267,2.939781
268,1.2906373
269,1.8223209
270,3.5065184
271,0.9701412
272,1.0906115
273,0.88627446
274,0.0
275,1.3468543
276,1.0452399
277,1.2824379
278,1.4138002
279,1.4398631
280,1.4398631
281,1.4398631
282,3.0683894
283,1.0006415
284,1.8381965
285,1.8381965
286,2.306294
287,0.8145703
288,0.73240495
289,0.6415913
290,0.73240495
291,0.6415913
292,0.73240495
293,0.73240495
294,1.5920947
295,1.5920947
296,0.8145703
297,0.6415913
298,0.74964195
299,1.1459984
300,0.78316456
301,3.2088838
302,1.943061
303,1.315656
304,0.63255394
305,0.87029743
306,1.113062
307,1.0725416
308,1.1459984
309,0.86796844
310,0.97184867
311,0.86796844
312,1.0725416
313,0.7474
314,1.3867626
315,0.6245861
316,0.6245861
317,1.1147608
318,1.2079035
319,1.2079035
320,1.209882
321,1.209882
322,1.209882
323,1.209882
324,1.4835185
325,1.4835185
326,1.1611258
327,1.4138002
328,1.4138002
329,1.4138002
330,1.9182459
331,1.2771173
332,0.0
333,0.0
334,0.0
335,0.12063202
336,4.4659214
337,4.4659214
338,4.4659214
339,4.4659214
340,0.0
341,1.3092558
342,1.6730951
343,0.72629213
344,1.3400973
345,1.2951102
346,2.5841649
347,2.5841649
348,0.47895038
349,0.7424176
350,0.89466566
351,0.28434741
352,1.1477337
353,0.66677696
354,1.3295507
355,2.7879527
356,0.8448579
357,1.2134848
358,0.0
359,0.8448579
360,0.9578229
361,1.6645707
362,1.2134848
363,0.8908885
364,2.7874346
365,0.9736061
366,0.49980432
367,0.91289926
368,1.2468109
369,6.23835
370,6.3834543
371,6.23835
372,6.23835
373,1.2333629
374,1.2333629
375,1.2333629
376,1.2333629
377,1.6555953
378,1.6555953
379,1.6555953
380,5.382111
381,0.9736061
382,0.9736061
383,0.7860846
384,1.2029014
385,1.2029014
386,1.2029014
387,1.3861446
388,1.3861446
389,1.3861446
390,1.8342332
391,2.2691963
392,5.8744
393,5.382111
394,1.4248115
395,1.3301016
396,4.7152987
397,13.96542
398,0.0
399,1.2913855
400,0.32307214
401,0.44699383
402,6.035273
403,5.541403
404,0.93737173
405,1.4190118
406,6.5648804
407,1.4190118
408,1.2999034
409,3.5009627
410,0.066787876
411,13.96542
412,3.5721471
413,0.7805523
414,0.41202953
415,6.5178413
416,0.0
417,3.5009627
418,9.429061
419,1.5857708
420,1.6278025
421,1.6278025
422,0.0
423,0.14022557
424,0.0
425,0.0
426,4.956957
427,1.3360888
428,2.5044615
429,4.6511993
430,0.0
431,0.35811597
432,0.0
433,4.414535
434,0.72564805
435,2.8181236
436,0.0
437,0.0
438,1.6278025
439,1.3360888
440,1.6303929
441,7.324936
442,7.324936
